RAOPeriodOrFreq,RAOSurgeAmp,RAOSurgePhase,RAOSwayAmp,RAOSwayPhase,RAOHeaveAmp,RAOHeavePhase,RAORollAmp,RAORollPhase,RAOPitchAmp,RAOPitchPhase,RAOYawAmp,RAOYawPhase,dir
2.605,0.002,-144.544,0.002,-121.588,0.001,20.061,0.004,-60.973,0.002,-135.092,0.004,-112.07,-130.0
2.589,0.002,-163.768,0.001,-145.808,0.001,-0.213,0.003,-70.73,0.001,-151.329,0.004,-128.51,-130.0
2.573,0.002,176.269,0.001,-170.368,0.001,-17.691,0.003,-81.173,0.001,-171.844,0.003,-144.377,-130.0
2.557,0.002,155.531,0.001,166.434,0.001,-33.368,0.003,-93.013,0.001,160.895,0.003,-160.253,-130.0
2.541,0.002,134.275,0.001,145.335,0.001,-48.222,0.002,-107.802,0.001,127.691,0.003,-176.759,-130.0
2.526,0.002,112.97,0.001,126.333,0.001,-63.126,0.002,-128.63,0.001,96.916,0.003,165.41,-130.0
2.511,0.002,92.077,0.001,108.863,0.001,-79.043,0.001,-160.524,0.001,73.345,0.002,145.59,-130.0
2.496,0.002,71.903,0.001,92.282,0.0,-97.113,0.001,159.509,0.001,55.578,0.002,123.359,-130.0
2.482,0.002,52.528,0.001,75.892,0.0,-118.859,0.002,128.272,0.001,41.213,0.002,99.159,-130.0
2.468,0.001,33.799,0.001,58.974,0.0,-145.031,0.002,107.86,0.001,28.489,0.002,74.674,-130.0
2.454,0.001,15.404,0.001,40.756,0.0,-174.027,0.002,93.021,0.001,16.503,0.002,51.816,-130.0
2.44,0.001,-3.034,0.001,20.371,0.0,158.799,0.002,80.684,0.001,4.292,0.002,31.509,-130.0
2.426,0.001,-21.931,0.001,-2.801,0.0,136.318,0.002,69.384,0.001,-9.318,0.002,13.51,-130.0
2.413,0.001,-41.659,0.001,-28.626,0.0,118.088,0.002,58.19,0.001,-26.568,0.002,-2.87,-130.0
2.4,0.001,-62.342,0.001,-55.043,0.0,102.391,0.002,46.457,0.0,-50.903,0.002,-18.213,-130.0
2.387,0.001,-83.781,0.001,-79.5,0.0,87.854,0.002,33.206,0.0,-85.112,0.002,-33.13,-130.0
2.374,0.001,-105.481,0.001,-100.691,0.0,73.49,0.001,16.654,0.0,-121.75,0.002,-48.382,-130.0
62.832,3.467,-90.277,5.99,-90.09,0.993,-0.01,0.357,-87.353,0.205,91.232,0.802,179.823,-120.0
42.032,2.292,-90.431,3.945,-90.138,0.985,0.01,0.538,-85.981,0.306,91.863,0.797,179.733,-120.0
31.578,1.693,-90.569,2.898,-90.205,0.973,0.077,0.727,-84.521,0.408,92.522,0.79,179.664,-120.0
25.289,1.327,-90.68,2.254,-90.276,0.957,0.199,0.927,-82.941,0.51,93.25,0.781,179.597,-120.0
21.088,1.078,-90.685,1.812,-90.334,0.935,0.349,1.146,-81.168,0.613,94.118,0.768,179.516,-120.0
18.085,0.895,-90.486,1.485,-90.331,0.909,0.496,1.399,-79.048,0.719,95.242,0.751,179.392,-120.0
15.83,0.752,-89.968,1.23,-90.143,0.879,0.611,1.711,-76.294,0.826,96.773,0.73,179.142,-120.0
14.075,0.633,-89.045,1.022,-89.488,0.845,0.715,2.141,-72.268,0.932,98.907,0.705,178.678,-120.0
12.671,0.529,-87.746,0.839,-87.641,0.809,0.973,2.835,-65.211,1.033,101.778,0.678,177.976,-120.0
11.521,0.434,-86.208,0.643,-82.648,0.77,1.651,4.204,-48.804,1.118,105.421,0.651,177.441,-120.0
10.562,0.349,-84.615,0.327,-89.306,0.724,3.072,5.842,0.466,1.18,109.759,0.601,178.654,-120.0
9.751,0.272,-82.957,0.374,-116.269,0.665,5.484,3.04,53.031,1.21,114.779,0.531,174.368,-120.0
9.049,0.201,-80.937,0.342,-114.394,0.586,8.902,1.338,70.083,1.197,120.669,0.494,169.847,-120.0
8.323,0.124,-78.055,0.258,-115.381,0.462,13.604,0.519,76.549,1.1,128.787,0.447,164.806,-120.0
7.759,0.065,-76.976,0.184,-118.343,0.332,16.388,0.176,77.767,0.928,135.749,0.4,159.736,-120.0
7.305,0.026,-82.289,0.123,-122.122,0.222,14.934,0.006,57.273,0.731,139.854,0.354,154.439,-120.0
6.931,0.004,-140.963,0.074,-126.489,0.141,7.573,0.081,-100.832,0.553,140.565,0.31,148.91,-120.0
6.614,0.011,112.387,0.034,-132.161,0.089,-6.907,0.122,-102.706,0.411,138.323,0.266,143.214,-120.0
6.342,0.017,94.805,0.003,-161.02,0.06,-29.081,0.134,-104.815,0.301,133.791,0.224,137.266,-120.0
6.105,0.02,79.922,0.02,44.134,0.045,-56.443,0.13,-107.472,0.217,127.436,0.182,130.746,-120.0
5.894,0.021,64.635,0.037,36.096,0.04,-82.431,0.118,-110.614,0.153,119.277,0.142,123.164,-120.0
5.706,0.021,48.614,0.048,28.799,0.039,-103.034,0.101,-113.966,0.103,108.578,0.107,113.955,-120.0
5.535,0.02,31.824,0.055,21.335,0.037,-118.967,0.084,-116.966,0.066,93.045,0.076,102.401,-120.0
5.38,0.02,14.704,0.059,13.732,0.034,-132.052,0.067,-118.734,0.04,67.364,0.05,86.759,-120.0
5.238,0.02,-2.096,0.059,6.064,0.03,-143.754,0.051,-117.934,0.029,27.104,0.029,60.209,-120.0
5.107,0.021,-17.964,0.058,-1.704,0.026,-155.409,0.037,-112.451,0.031,-11.438,0.019,3.931,-120.0
4.985,0.021,-32.314,0.054,-9.758,0.021,-167.602,0.026,-98.757,0.036,-35.051,0.028,-46.455,-120.0
4.872,0.02,-46.214,0.048,-18.373,0.017,178.7,0.02,-74.445,0.04,-50.477,0.041,-68.185,-120.0
4.767,0.019,-60.224,0.042,-28.022,0.013,161.38,0.019,-48.906,0.041,-62.505,0.052,-80.652,-120.0
4.668,0.019,-73.896,0.035,-39.412,0.009,138.281,0.021,-33.98,0.04,-72.654,0.059,-90.417,-120.0
4.575,0.017,-87.248,0.028,-53.548,0.007,108.402,0.023,-28.603,0.037,-81.868,0.063,-99.582,-120.0
4.488,0.016,-101.09,0.022,-71.675,0.007,75.89,0.024,-28.88,0.033,-91.152,0.064,-108.778,-120.0
4.405,0.014,-115.863,0.017,-94.804,0.008,48.887,0.024,-31.749,0.028,-101.369,0.063,-118.048,-120.0
4.327,0.013,-131.486,0.015,-122.417,0.008,29.191,0.024,-34.884,0.023,-112.763,0.06,-127.294,-120.0
4.253,0.012,-148.36,0.015,-151.236,0.009,13.63,0.022,-36.809,0.018,-126.127,0.057,-136.636,-120.0
4.182,0.01,-166.663,0.016,-176.787,0.009,0.05,0.019,-37.63,0.013,-143.221,0.051,-146.419,-120.0
4.115,0.01,174.148,0.017,163.19,0.009,-12.312,0.016,-36.703,0.01,-167.334,0.045,-156.96,-120.0
4.051,0.009,154.61,0.019,147.665,0.009,-23.69,0.011,-32.529,0.008,158.868,0.039,-168.516,-120.0
3.99,0.009,134.754,0.02,134.647,0.008,-34.556,0.007,-18.911,0.008,121.82,0.033,178.366,-120.0
3.932,0.008,115.294,0.021,122.825,0.007,-45.351,0.005,21.889,0.009,93.62,0.027,162.856,-120.0
3.876,0.008,97.18,0.02,111.642,0.006,-56.571,0.006,62.844,0.011,74.911,0.022,144.047,-120.0
3.822,0.008,80.686,0.02,100.861,0.005,-69.016,0.01,75.789,0.012,61.638,0.019,121.467,-120.0
3.771,0.008,65.525,0.018,90.305,0.004,-83.745,0.013,78.749,0.013,51.116,0.017,96.343,-120.0
3.722,0.008,51.098,0.017,79.685,0.003,-102.344,0.016,78.302,0.013,41.726,0.017,71.869,-120.0
3.674,0.008,37.16,0.015,68.525,0.003,-126.608,0.018,76.257,0.013,32.737,0.018,50.726,-120.0
3.629,0.007,23.622,0.013,56.32,0.002,-155.965,0.019,73.157,0.012,23.991,0.019,33.368,-120.0
3.584,0.007,10.108,0.011,42.524,0.002,174.366,0.019,69.149,0.011,15.383,0.02,18.942,-120.0
3.542,0.006,-3.778,0.009,26.564,0.002,149.346,0.019,64.344,0.009,6.722,0.02,6.365,-120.0
3.501,0.006,-18.317,0.007,7.631,0.003,129.908,0.018,58.938,0.008,-2.303,0.02,-5.108,-120.0
3.461,0.005,-33.867,0.006,-15.03,0.003,114.616,0.017,53.342,0.006,-12.264,0.02,-15.899,-120.0
3.423,0.004,-50.832,0.005,-40.787,0.003,101.949,0.015,47.958,0.005,-24.447,0.019,-26.195,-120.0
3.386,0.004,-69.644,0.005,-66.484,0.003,90.822,0.013,43.06,0.003,-42.111,0.017,-36.234,-120.0
3.35,0.003,-90.502,0.005,-88.719,0.003,80.503,0.011,38.618,0.002,-74.913,0.015,-46.296,-120.0
3.315,0.003,-112.702,0.006,-106.704,0.003,70.573,0.008,34.454,0.002,-129.101,0.013,-56.784,-120.0
3.282,0.003,-134.891,0.006,-121.505,0.003,60.731,0.005,30.371,0.002,-167.034,0.011,-68.223,-120.0
3.249,0.003,-155.874,0.006,-134.341,0.002,50.666,0.002,26.308,0.003,173.185,0.009,-81.316,-120.0
3.217,0.003,-174.999,0.006,-146.037,0.002,39.946,0.0,167.09,0.004,160.289,0.007,-96.981,-120.0
3.186,0.003,167.753,0.006,-157.039,0.001,27.882,0.002,-164.35,0.004,150.234,0.006,-116.206,-120.0
3.156,0.003,152.012,0.005,-167.607,0.001,13.089,0.004,-169.253,0.004,141.556,0.005,-139.693,-120.0
3.127,0.003,137.32,0.005,-177.889,0.001,-7.629,0.006,-174.458,0.004,133.684,0.004,-166.398,-120.0
3.099,0.003,123.359,0.004,171.924,0.001,-40.667,0.007,-179.692,0.004,126.359,0.004,167.481,-120.0
3.071,0.002,109.877,0.003,161.58,0.0,-85.23,0.008,175.126,0.004,119.483,0.004,145.589,-120.0
3.045,0.002,96.518,0.003,150.636,0.001,-119.701,0.008,169.991,0.004,113.062,0.005,128.568,-120.0
3.018,0.002,82.876,0.002,138.342,0.001,-140.56,0.008,164.848,0.003,107.075,0.005,115.326,-120.0
2.993,0.002,68.478,0.001,123.14,0.001,-154.479,0.008,159.633,0.003,101.476,0.005,104.616,-120.0
2.968,0.001,52.639,0.001,100.775,0.001,-165.015,0.007,154.31,0.002,96.141,0.005,95.535,-120.0
2.944,0.001,34.404,0.001,61.982,0.001,-173.763,0.007,148.861,0.001,90.814,0.005,87.626,-120.0
2.92,0.001,12.926,0.001,14.449,0.001,178.47,0.006,143.39,0.001,84.676,0.005,80.733,-120.0
2.897,0.001,-11.599,0.001,-15.16,0.001,171.199,0.005,138.009,0.0,26.261,0.004,74.835,-120.0
2.874,0.001,-36.997,0.001,-31.729,0.001,164.162,0.004,132.818,0.0,-98.776,0.004,69.786,-120.0
2.852,0.001,-60.322,0.001,-42.055,0.001,157.201,0.003,127.741,0.001,-105.233,0.003,65.237,-120.0
2.831,0.001,-80.24,0.001,-48.498,0.001,150.238,0.001,122.236,0.001,-110.716,0.003,60.827,-120.0
2.81,0.001,-97.108,0.001,-51.708,0.001,143.303,0.0,110.557,0.001,-115.935,0.002,56.254,-120.0
2.789,0.001,-111.692,0.001,-51.477,0.0,136.356,0.001,-60.106,0.002,-120.974,0.002,51.08,-120.0
2.769,0.001,-124.468,0.001,-46.685,0.0,129.346,0.002,-67.505,0.002,-125.73,0.002,44.486,-120.0
2.749,0.001,-135.604,0.001,-36.459,0.0,121.7,0.002,-72.924,0.002,-130.108,0.001,34.994,-120.0
2.73,0.001,-145.183,0.001,-23.558,0.0,-18.076,0.003,-77.853,0.002,-133.968,0.001,20.125,-120.0
2.711,0.0,-152.977,0.001,-13.931,0.0,-66.184,0.003,-82.453,0.001,-137.15,0.001,-3.496,-120.0
2.693,0.0,-157.727,0.001,-10.065,0.0,-72.941,0.004,-86.754,0.001,-139.326,0.001,-34.976,-120.0
2.674,0.0,-155.354,0.001,-10.913,0.0,-78.48,0.004,-90.793,0.001,-140.061,0.001,-63.164,-120.0
2.657,0.0,-133.716,0.001,-14.906,0.0,-83.199,0.004,-94.691,0.001,-138.634,0.001,-82.496,-120.0
2.639,0.0,-94.36,0.001,-21.331,0.0,-87.209,0.004,-98.553,0.001,-134.045,0.001,-95.961,-120.0
2.622,0.0,-78.379,0.001,-29.696,0.0,-90.202,0.003,-102.388,0.001,-124.625,0.002,-106.423,-120.0
2.605,0.0,-78.042,0.001,-40.026,0.0,-91.884,0.003,-106.251,0.0,-109.541,0.002,-115.578,-120.0
2.589,0.0,-83.517,0.001,-52.229,0.0,-91.81,0.003,-110.094,0.0,-90.645,0.002,-124.267,-120.0
2.573,0.0,-92.123,0.001,-67.211,0.0,-89.264,0.002,-113.619,0.0,-74.371,0.002,-132.87,-120.0
2.557,0.0,-102.906,0.001,-85.551,0.0,-83.668,0.002,-116.552,0.0,-62.751,0.002,-141.554,-120.0
2.541,0.0,-115.834,0.001,-108.676,0.0,-74.174,0.001,-118.065,0.0,-55.0,0.002,-150.525,-120.0
2.526,0.0,-131.092,0.001,-135.815,0.0,-61.823,0.001,-115.092,0.0,-49.287,0.002,-159.823,-120.0
2.511,0.0,-148.963,0.001,-163.296,0.0,-50.081,0.0,-76.899,0.0,-44.358,0.002,-169.808,-120.0
2.496,0.0,-169.806,0.001,172.995,0.0,-41.816,0.0,17.36,0.0,-38.881,0.002,179.189,-120.0
2.482,0.0,166.833,0.001,153.743,0.0,-37.677,0.001,26.427,0.0,-32.603,0.002,166.723,-120.0
2.468,0.0,142.602,0.001,137.709,0.0,-36.814,0.001,26.452,0.0,-25.321,0.002,152.186,-120.0
2.454,0.0,119.576,0.001,123.594,0.0,-37.692,0.001,24.524,0.0,-16.935,0.002,134.96,-120.0
2.44,0.0,99.022,0.001,110.546,0.0,-39.709,0.002,21.962,0.0,-8.695,0.002,114.751,-120.0
2.426,0.001,80.859,0.001,97.964,0.0,-42.427,0.002,19.214,0.0,-1.589,0.001,92.231,-120.0
2.413,0.001,64.443,0.001,85.441,0.0,-45.558,0.002,16.406,0.0,3.336,0.002,69.343,-120.0
2.4,0.001,49.235,0.001,72.505,0.0,-48.323,0.002,13.662,0.001,6.478,0.002,48.14,-120.0
2.387,0.001,34.777,0.001,58.809,0.0,-48.938,0.002,10.967,0.001,8.209,0.002,29.543,-120.0
2.374,0.001,20.621,0.001,43.989,0.0,-34.501,0.002,8.292,0.001,8.9,0.002,13.218,-120.0
62.832,2.381,-90.341,6.521,-90.06,0.997,-0.007,0.389,-87.982,0.14,91.034,0.596,179.929,-110.0
42.032,1.581,-90.515,4.312,-90.102,0.994,0.011,0.59,-86.93,0.21,91.562,0.594,179.881,-110.0
31.578,1.176,-90.696,3.187,-90.157,0.99,0.079,0.803,-85.813,0.282,92.122,0.591,179.858,-110.0
25.289,0.93,-90.858,2.499,-90.222,0.984,0.213,1.036,-84.597,0.354,92.751,0.586,179.844,-110.0
21.088,0.764,-90.915,2.029,-90.297,0.976,0.451,1.301,-83.218,0.429,93.531,0.58,179.823,-110.0
18.085,0.644,-90.798,1.685,-90.309,0.966,0.782,1.618,-81.546,0.508,94.561,0.571,179.738,-110.0
15.83,0.551,-90.369,1.419,-90.156,0.955,1.241,2.028,-79.292,0.591,96.031,0.56,179.535,-110.0
14.075,0.474,-89.555,1.204,-89.52,0.942,1.917,2.618,-75.841,0.676,98.128,0.547,179.093,-110.0
12.671,0.408,-88.362,1.018,-87.561,0.927,2.939,3.61,-69.426,0.762,101.03,0.534,178.416,-110.0
11.521,0.347,-86.933,0.811,-81.751,0.908,4.56,5.647,-53.74,0.842,104.775,0.526,178.181,-110.0
10.562,0.291,-85.48,0.402,-83.96,0.883,7.043,8.428,-5.233,0.909,109.313,0.494,-178.242,-110.0
9.751,0.24,-84.073,0.474,-119.183,0.843,10.654,4.836,46.525,0.956,114.606,0.422,176.996,-110.0
9.049,0.191,-82.574,0.479,-117.88,0.779,15.39,2.45,62.791,0.974,120.793,0.4,170.794,-110.0
8.323,0.135,-81.149,0.41,-119.306,0.662,21.994,1.255,68.312,0.935,129.194,0.379,164.604,-110.0
7.759,0.089,-82.681,0.34,-122.842,0.528,27.406,0.719,68.739,0.831,136.342,0.359,158.939,-110.0
7.305,0.055,-90.527,0.28,-127.418,0.402,30.393,0.425,67.002,0.698,140.654,0.338,153.311,-110.0
6.931,0.034,-107.214,0.228,-132.771,0.298,30.667,0.247,63.773,0.572,141.831,0.317,147.48,-110.0
6.614,0.023,-132.199,0.184,-138.944,0.217,28.501,0.135,59.065,0.467,140.531,0.296,141.32,-110.0
6.342,0.019,-159.162,0.147,-145.942,0.157,24.263,0.063,52.587,0.382,137.567,0.275,134.776,-110.0
6.105,0.017,177.101,0.116,-153.626,0.113,18.09,0.015,38.237,0.314,133.517,0.255,127.944,-110.0
5.894,0.016,156.421,0.09,-161.841,0.08,9.916,0.018,-123.362,0.258,128.644,0.237,120.973,-110.0
5.706,0.015,137.419,0.067,-170.751,0.056,-0.627,0.039,-132.896,0.212,123.063,0.22,114.047,-110.0
5.535,0.014,119.87,0.047,178.563,0.038,-14.25,0.051,-137.103,0.173,116.844,0.202,107.205,-110.0
5.38,0.014,103.787,0.03,163.012,0.026,-32.387,0.056,-140.468,0.141,110.124,0.184,100.359,-110.0
5.238,0.013,88.905,0.018,134.846,0.019,-56.501,0.055,-144.323,0.115,103.075,0.166,93.302,-110.0
5.107,0.012,73.926,0.014,87.045,0.015,-85.261,0.051,-149.376,0.092,95.658,0.148,85.874,-110.0
4.985,0.011,57.912,0.017,45.572,0.014,-112.974,0.046,-155.708,0.073,87.649,0.13,78.019,-110.0
4.872,0.01,41.628,0.021,20.67,0.015,-134.978,0.041,-162.377,0.057,78.834,0.115,69.834,-110.0
4.767,0.01,26.183,0.026,3.566,0.015,-151.653,0.036,-167.957,0.043,69.106,0.1,61.448,-110.0
4.668,0.009,10.743,0.03,-9.533,0.015,-165.297,0.032,-171.41,0.032,57.97,0.086,52.888,-110.0
4.575,0.009,-5.27,0.033,-20.062,0.015,-177.227,0.026,-172.346,0.022,43.692,0.073,44.002,-110.0
4.488,0.009,-21.116,0.035,-29.081,0.015,172.331,0.021,-170.681,0.015,23.228,0.061,34.536,-110.0
4.405,0.008,-36.328,0.036,-37.446,0.014,163.008,0.016,-165.707,0.011,-7.197,0.05,24.178,-110.0
4.327,0.008,-50.967,0.036,-45.712,0.013,154.138,0.013,-155.617,0.01,-43.841,0.04,12.457,-110.0
4.253,0.008,-64.707,0.036,-54.027,0.011,145.018,0.011,-139.98,0.011,-73.2,0.032,-1.31,-110.0
4.182,0.008,-77.231,0.035,-62.171,0.01,135.556,0.011,-123.602,0.013,-92.431,0.025,-17.81,-110.0
4.115,0.008,-89.021,0.033,-70.0,0.009,125.771,0.013,-112.297,0.014,-106.415,0.02,-37.69,-110.0
4.051,0.008,-100.604,0.031,-77.629,0.008,115.815,0.016,-106.367,0.015,-118.186,0.016,-61.368,-110.0
3.99,0.007,-112.174,0.029,-85.302,0.006,105.687,0.018,-104.361,0.015,-128.973,0.015,-87.477,-110.0
3.932,0.007,-123.216,0.026,-93.119,0.005,95.291,0.019,-105.172,0.016,-138.704,0.015,-112.093,-110.0
3.876,0.007,-133.601,0.023,-100.975,0.004,84.199,0.021,-107.82,0.015,-147.287,0.016,-132.612,-110.0
3.822,0.006,-143.546,0.021,-108.683,0.003,71.334,0.022,-111.328,0.015,-154.925,0.017,-149.272,-110.0
3.771,0.006,-153.217,0.018,-116.158,0.003,55.239,0.023,-114.955,0.014,-161.939,0.018,-163.094,-110.0
3.722,0.005,-162.904,0.015,-123.466,0.002,33.778,0.023,-118.402,0.014,-168.682,0.018,-174.82,-110.0
3.674,0.005,-172.457,0.013,-130.811,0.001,5.495,0.023,-121.79,0.012,-175.313,0.019,175.088,-110.0
3.629,0.004,178.424,0.01,-138.371,0.001,-25.625,0.022,-125.42,0.011,178.354,0.019,166.249,-110.0
3.584,0.004,169.548,0.008,-146.062,0.001,-52.792,0.021,-129.513,0.01,172.401,0.019,158.288,-110.0
3.542,0.003,160.698,0.006,-153.595,0.002,-73.681,0.02,-134.075,0.009,166.813,0.018,150.888,-110.0
3.501,0.002,151.859,0.004,-160.525,0.002,-89.533,0.019,-138.794,0.008,161.656,0.017,144.012,-110.0
3.461,0.002,143.158,0.002,-166.086,0.002,-102.123,0.018,-143.213,0.006,157.044,0.016,137.797,-110.0
3.423,0.001,135.018,0.001,-166.718,0.002,-112.596,0.017,-147.047,0.005,153.261,0.015,132.453,-110.0
3.386,0.001,128.106,0.0,-66.964,0.002,-121.695,0.016,-150.262,0.004,150.807,0.013,128.1,-110.0
3.35,0.001,123.986,0.001,-24.954,0.002,-129.782,0.014,-153.044,0.003,150.432,0.012,124.797,-110.0
3.315,0.0,134.709,0.002,-28.084,0.002,-137.056,0.013,-155.579,0.002,153.514,0.011,122.631,-110.0
3.282,0.0,-122.242,0.002,-34.708,0.002,-143.643,0.011,-157.854,0.002,162.986,0.009,121.768,-110.0
3.249,0.0,-108.333,0.003,-42.442,0.002,-149.696,0.01,-159.658,0.001,-177.105,0.008,122.367,-110.0
3.217,0.001,-112.665,0.003,-50.583,0.002,-155.227,0.009,-160.696,0.001,-151.285,0.008,124.324,-110.0
3.186,0.001,-120.198,0.003,-58.826,0.002,-160.124,0.008,-160.725,0.001,-133.744,0.007,127.138,-110.0
3.156,0.001,-128.813,0.003,-67.173,0.001,-164.141,0.007,-159.694,0.002,-125.891,0.007,129.925,-110.0
3.127,0.001,-137.857,0.002,-75.838,0.001,-166.917,0.006,-157.613,0.002,-123.206,0.007,131.81,-110.0
3.099,0.001,-147.053,0.002,-85.157,0.001,-168.039,0.005,-154.431,0.002,-122.852,0.007,132.256,-110.0
3.071,0.001,-156.471,0.002,-95.537,0.001,-167.065,0.004,-149.959,0.002,-123.561,0.007,131.155,-110.0
3.045,0.001,-166.319,0.001,-107.844,0.001,-163.597,0.004,-143.959,0.002,-124.735,0.007,128.653,-110.0
3.018,0.001,-176.832,0.001,-125.478,0.001,-157.536,0.003,-136.39,0.002,-126.091,0.007,124.939,-110.0
2.993,0.001,171.757,0.0,-170.439,0.001,-149.63,0.003,-127.643,0.002,-127.427,0.007,120.151,-110.0
2.968,0.001,159.201,0.001,102.47,0.001,-141.598,0.003,-118.532,0.002,-128.528,0.007,114.367,-110.0
2.944,0.001,145.222,0.001,74.051,0.001,-135.24,0.003,-110.002,0.002,-129.229,0.007,107.623,-110.0
2.92,0.001,129.481,0.002,60.037,0.001,-131.393,0.003,-102.77,0.002,-129.332,0.007,99.975,-110.0
2.897,0.001,111.488,0.002,49.154,0.001,-129.978,0.003,-97.081,0.002,-128.709,0.006,91.429,-110.0
2.874,0.001,91.003,0.002,39.174,0.001,-130.5,0.003,-92.777,0.002,-127.279,0.006,81.885,-110.0
2.852,0.001,68.667,0.003,29.577,0.001,-132.419,0.004,-89.569,0.002,-125.091,0.006,71.26,-110.0
2.831,0.001,46.071,0.003,20.241,0.001,-135.24,0.004,-87.194,0.001,-122.321,0.005,59.39,-110.0
2.81,0.001,24.694,0.003,11.094,0.001,-138.576,0.004,-85.521,0.001,-119.287,0.005,46.059,-110.0
2.789,0.001,5.209,0.004,1.991,0.001,-142.107,0.004,-84.552,0.001,-116.411,0.004,30.979,-110.0
2.769,0.001,-12.235,0.004,-7.183,0.001,-145.643,0.004,-84.325,0.001,-114.041,0.004,13.978,-110.0
2.749,0.001,-27.706,0.004,-16.527,0.001,-148.986,0.005,-84.861,0.002,-112.432,0.004,-4.681,-110.0
2.73,0.001,-41.56,0.004,-26.039,0.0,-151.924,0.005,-86.122,0.002,-111.704,0.003,-24.216,-110.0
2.711,0.001,-54.312,0.004,-35.718,0.0,-154.098,0.005,-87.973,0.002,-111.854,0.003,-43.577,-110.0
2.693,0.001,-66.349,0.004,-45.564,0.0,-154.843,0.005,-90.286,0.002,-112.758,0.004,-61.906,-110.0
2.674,0.001,-77.859,0.004,-55.607,0.0,-152.879,0.005,-92.967,0.002,-114.275,0.004,-78.778,-110.0
2.657,0.001,-88.983,0.003,-65.944,0.0,-145.346,0.005,-95.962,0.002,-116.236,0.004,-94.062,-110.0
2.639,0.001,-99.832,0.003,-76.676,0.0,-127.805,0.005,-99.259,0.002,-118.544,0.004,-107.902,-110.0
2.622,0.001,-110.544,0.003,-87.918,0.0,-100.901,0.005,-102.812,0.001,-121.103,0.005,-120.586,-110.0
2.605,0.001,-121.25,0.003,-99.861,0.0,-79.573,0.004,-106.552,0.001,-123.747,0.005,-132.327,-110.0
2.589,0.001,-132.083,0.003,-112.531,0.0,-70.219,0.004,-110.387,0.001,-126.422,0.005,-143.384,-110.0
2.573,0.001,-143.177,0.002,-126.284,0.0,-67.436,0.004,-114.192,0.001,-129.156,0.005,-153.937,-110.0
2.557,0.001,-154.591,0.002,-141.311,0.0,-68.656,0.004,-117.942,0.001,-131.581,0.005,-164.125,-110.0
2.541,0.001,-166.48,0.002,-157.601,0.0,-71.634,0.003,-121.567,0.001,-133.398,0.005,-173.999,-110.0
2.526,0.001,-178.939,0.002,-175.127,0.0,-75.628,0.003,-125.066,0.001,-134.253,0.005,176.243,-110.0
2.511,0.001,167.875,0.002,166.631,0.0,-80.305,0.003,-128.393,0.001,-133.027,0.005,166.501,-110.0
2.496,0.001,153.69,0.002,148.38,0.0,-85.293,0.002,-131.368,0.0,-128.396,0.005,156.686,-110.0
2.482,0.001,138.332,0.002,130.744,0.0,-90.566,0.002,-133.709,0.0,-118.514,0.005,146.747,-110.0
2.468,0.001,121.642,0.002,114.084,0.0,-96.062,0.002,-134.845,0.0,-102.284,0.004,136.636,-110.0
2.454,0.001,103.6,0.002,98.539,0.0,-101.552,0.001,-133.624,0.0,-83.503,0.004,126.291,-110.0
2.44,0.0,84.599,0.002,84.064,0.0,-107.01,0.001,-127.759,0.0,-69.129,0.004,115.623,-110.0
2.426,0.0,65.279,0.002,70.587,0.0,-112.457,0.001,-112.39,0.0,-60.878,0.003,104.54,-110.0
2.413,0.0,46.456,0.002,57.885,0.0,-117.866,0.001,-83.327,0.001,-57.351,0.003,92.922,-110.0
2.4,0.0,28.843,0.002,45.859,0.0,-123.37,0.001,-55.74,0.001,-56.647,0.003,80.617,-110.0
2.387,0.0,12.737,0.002,34.347,0.0,-128.922,0.001,-42.247,0.001,-57.564,0.002,67.452,-110.0
2.374,0.001,-1.936,0.002,23.216,0.0,-134.583,0.001,-37.533,0.001,-59.643,0.002,53.123,-110.0
62.832,1.212,-90.571,6.848,-90.032,1.0,-0.004,0.409,-88.646,0.071,91.04,0.318,-179.92,-100.0
42.032,0.807,-90.88,4.541,-90.059,1.0,0.009,0.622,-87.941,0.107,91.584,0.317,-179.89,-100.0
31.578,0.603,-91.186,3.37,-90.103,1.001,0.083,0.852,-87.178,0.144,92.176,0.316,-179.842,-100.0
25.289,0.48,-91.479,2.655,-90.164,1.002,0.236,1.107,-86.355,0.182,92.874,0.314,-179.785,-100.0
21.088,0.397,-91.707,2.17,-90.232,1.003,0.512,1.403,-85.383,0.221,93.75,0.312,-179.739,-100.0
18.085,0.337,-91.763,1.818,-90.261,1.005,0.973,1.766,-84.162,0.263,94.944,0.309,-179.766,-100.0
15.83,0.292,-91.553,1.548,-90.118,1.006,1.661,2.248,-82.405,0.307,96.615,0.305,-179.964,-100.0
14.075,0.254,-91.034,1.332,-89.499,1.007,2.675,2.959,-79.48,0.353,98.972,0.301,179.578,-100.0
12.671,0.222,-90.26,1.148,-87.469,1.007,4.159,4.181,-73.659,0.4,102.156,0.3,178.91,-100.0
11.521,0.193,-89.487,0.944,-81.096,1.004,6.304,6.744,-58.591,0.443,106.172,0.308,179.443,-100.0
10.562,0.166,-88.994,0.47,-78.271,0.994,9.347,10.461,-10.739,0.479,110.895,0.299,-171.048,-100.0
9.751,0.142,-88.88,0.531,-119.739,0.967,13.501,6.299,40.384,0.504,116.202,0.224,-174.758,-100.0
