RAOPeriodOrFreq,RAOSurgeAmp,RAOSurgePhase,RAOSwayAmp,RAOSwayPhase,RAOHeaveAmp,RAOHeavePhase,RAORollAmp,RAORollPhase,RAOPitchAmp,RAOPitchPhase,RAOYawAmp,RAOYawPhase,dir
3.423,0.006,-99.393,0.0,-34.24,0.003,63.793,0.0,-21.044,0.008,-120.583,0.0,-36.494,-180.0
3.386,0.006,-122.46,0.0,-86.832,0.003,33.941,0.0,-44.876,0.007,-143.077,0.0,-53.995,-180.0
3.35,0.005,-146.497,0.0,-120.145,0.003,9.27,0.0,-58.814,0.006,-171.803,0.0,-67.668,-180.0
3.315,0.005,-172.108,0.0,-140.023,0.003,-12.337,0.0,-68.861,0.005,153.967,0.0,-82.166,-180.0
3.282,0.004,161.632,0.0,-152.826,0.003,-33.99,0.0,-92.28,0.005,122.628,0.0,-111.043,-180.0
3.249,0.004,136.72,0.0,-161.941,0.002,-58.457,0.0,-131.223,0.006,98.266,0.0,-150.035,-180.0
3.217,0.004,113.328,0.0,-175.253,0.002,-87.653,0.0,-156.639,0.005,77.734,0.0,174.87,-180.0
3.186,0.004,90.59,0.0,158.26,0.002,-119.283,0.0,-172.285,0.005,57.041,0.0,146.415,-180.0
3.156,0.004,67.624,0.0,122.632,0.002,-147.694,0.0,177.798,0.004,32.41,0.0,128.444,-180.0
3.127,0.003,43.27,0.0,84.141,0.002,-171.544,0.0,172.046,0.003,0.827,0.0,111.767,-180.0
3.099,0.003,17.132,0.0,49.221,0.002,166.792,0.0,163.853,0.003,-33.862,0.0,88.948,-180.0
3.071,0.003,-9.193,0.0,24.55,0.001,144.244,0.0,136.07,0.003,-62.935,0.0,65.414,-180.0
3.045,0.003,-34.152,0.0,1.214,0.001,117.644,0.0,74.509,0.003,-85.59,0.0,42.061,-180.0
3.018,0.003,-57.694,0.0,-22.005,0.001,86.033,0.0,42.909,0.003,-105.702,0.0,11.542,-180.0
2.993,0.003,-80.505,0.0,-40.603,0.001,54.405,0.0,30.773,0.003,-127.584,0.0,-20.574,-180.0
2.968,0.002,-103.891,0.0,-58.684,0.001,27.946,0.0,25.181,0.002,-156.159,0.0,-49.499,-180.0
2.944,0.002,-129.208,0.0,-81.56,0.001,5.933,0.0,21.073,0.002,167.147,0.0,-77.728,-180.0
2.92,0.002,-156.221,0.0,-108.588,0.001,-15.082,0.0,13.47,0.002,132.724,0.0,-101.405,-180.0
2.897,0.002,176.877,0.0,-140.628,0.001,-39.296,0.0,-13.917,0.002,107.376,0.0,-122.132,-180.0
2.874,0.002,151.519,0.0,-178.379,0.001,-70.568,0.0,-98.461,0.002,87.528,0.0,-144.297,-180.0
2.852,0.002,127.801,0.0,149.698,0.001,-106.22,0.0,-126.069,0.002,68.021,0.0,-166.825,-180.0
2.831,0.002,104.688,0.0,125.401,0.001,-136.559,0.0,-133.377,0.001,42.844,0.0,170.845,-180.0
2.81,0.002,80.431,0.0,104.93,0.001,-159.374,0.0,-137.077,0.001,5.16,0.0,144.185,-180.0
2.789,0.001,54.015,0.0,87.341,0.001,-178.671,0.0,-140.746,0.001,-36.867,0.0,111.011,-180.0
2.769,0.001,26.143,0.0,70.311,0.0,160.576,0.0,-146.385,0.001,-66.36,0.0,76.904,-180.0
2.749,0.001,-1.272,0.0,48.678,0.0,131.713,0.0,-159.869,0.001,-86.469,0.0,47.396,-180.0
2.73,0.001,-26.806,0.0,15.893,0.0,89.908,0.0,133.506,0.001,-104.038,0.0,24.458,-180.0
2.711,0.001,-50.635,0.0,-26.006,0.0,50.555,0.0,72.694,0.001,-125.463,0.0,6.262,-180.0
2.693,0.001,-74.296,0.0,-60.972,0.0,24.911,0.0,60.592,0.001,-161.623,0.0,-11.666,-180.0
2.674,0.001,-99.523,0.0,-85.433,0.0,6.544,0.0,54.192,0.001,145.608,0.0,-34.569,-180.0
2.657,0.001,-127.172,0.0,-105.757,0.0,-10.91,0.0,48.498,0.001,108.925,0.0,-69.572,-180.0
2.639,0.001,-156.374,0.0,-124.649,0.0,-34.432,0.0,41.642,0.001,87.275,0.0,-114.863,-180.0
2.622,0.001,175.074,0.0,-145.331,0.0,-82.921,0.0,29.706,0.001,70.154,0.0,-148.911,-180.0
2.605,0.001,148.8,0.0,-175.287,0.0,-146.401,0.0,4.112,0.001,51.493,0.0,-172.105,-180.0
2.589,0.001,124.316,0.0,145.659,0.0,-176.868,0.0,-51.044,0.0,21.29,0.0,171.346,-180.0
2.573,0.001,99.792,0.0,112.898,0.0,165.044,0.0,-101.088,0.0,-36.622,0.0,152.711,-180.0
2.557,0.001,72.822,0.0,89.558,0.0,149.118,0.0,-122.357,0.0,-84.858,0.0,125.106,-180.0
2.541,0.0,41.527,0.0,68.95,0.0,127.656,0.0,-132.731,0.001,-109.077,0.0,78.788,-180.0
2.526,0.0,6.818,0.0,48.149,0.0,73.728,0.0,-136.806,0.001,-125.541,0.0,35.506,-180.0
2.511,0.0,-26.325,0.0,19.582,0.0,2.321,0.0,-141.63,0.001,-141.757,0.0,9.983,-180.0
2.496,0.0,-55.172,0.0,-15.214,0.0,-24.368,0.0,-150.964,0.0,-164.795,0.0,-6.251,-180.0
2.482,0.0,-82.165,0.0,-49.502,0.0,-40.065,0.0,-176.611,0.0,149.556,0.0,-21.376,-180.0
2.468,0.0,-113.101,0.0,-75.046,0.0,-54.999,0.0,91.17,0.0,93.754,0.0,-42.547,-180.0
2.454,0.0,-157.343,0.0,-94.144,0.0,-74.387,0.0,55.374,0.001,63.871,0.0,-78.395,-180.0
2.44,0.0,146.926,0.0,-111.679,0.0,-109.171,0.0,51.394,0.001,46.182,0.0,-123.785,-180.0
2.426,0.0,104.662,0.0,-132.649,0.0,-164.434,0.0,50.14,0.001,31.025,0.0,-154.844,-180.0
2.413,0.0,73.548,0.0,-160.38,0.0,158.471,0.0,50.578,0.001,13.198,0.0,-174.385,-180.0
2.4,0.0,43.15,0.0,164.51,0.0,138.014,0.0,45.473,0.0,-16.113,0.0,170.571,-180.0
2.387,0.0,7.028,0.0,132.058,0.0,122.325,0.0,19.592,0.0,-66.803,0.0,153.131,-180.0
2.374,0.0,-33.614,0.0,106.33,0.0,105.572,0.0,-94.61,0.0,-108.397,0.0,130.204,-180.0
62.832,6.692,-90.273,1.18,-90.166,0.971,-0.015,0.07,-85.42,0.398,92.089,0.314,179.574,-170.0
42.032,4.311,-90.413,0.759,-90.241,0.936,-0.007,0.102,-83.029,0.585,93.143,0.308,179.363,-170.0
31.578,3.068,-90.543,0.54,-90.311,0.885,0.019,0.131,-80.495,0.76,94.267,0.3,179.174,-170.0
25.289,2.285,-90.605,0.401,-90.345,0.817,-0.04,0.157,-77.721,0.921,95.475,0.289,179.004,-170.0
21.088,1.733,-90.513,0.304,-90.301,0.732,-0.463,0.177,-74.558,1.061,96.872,0.276,178.835,-170.0
18.085,1.313,-90.143,0.23,-90.093,0.633,-1.827,0.192,-70.741,1.175,98.546,0.26,178.636,-170.0
15.83,0.975,-89.416,0.172,-89.586,0.527,-4.956,0.197,-65.754,1.254,100.636,0.241,178.378,-170.0
14.075,0.693,-88.337,0.124,-88.619,0.425,-10.913,0.192,-58.407,1.285,103.193,0.22,178.017,-170.0
12.671,0.454,-87.215,0.083,-87.118,0.337,-20.733,0.166,-45.15,1.253,106.081,0.196,177.573,-170.0
11.521,0.258,-86.879,0.049,-87.018,0.271,-35.037,0.1,-5.811,1.148,108.791,0.17,177.082,-170.0
10.562,0.107,-89.937,0.032,-92.088,0.23,-53.214,0.165,164.171,0.976,110.261,0.142,176.019,-170.0
9.751,0.012,-163.089,0.018,-46.585,0.212,-72.478,0.241,-121.702,0.762,108.801,0.116,175.632,-170.0
9.049,0.061,102.115,0.018,25.346,0.208,-89.216,0.192,-96.025,0.544,101.299,0.087,176.866,-170.0
8.323,0.091,89.511,0.028,54.749,0.197,-104.282,0.126,-79.751,0.356,77.432,0.05,-178.408,-170.0
7.759,0.09,74.569,0.031,63.957,0.169,-116.247,0.07,-64.551,0.304,47.49,0.02,-159.683,-170.0
7.305,0.08,54.488,0.028,69.777,0.13,-130.932,0.029,-29.306,0.291,27.437,0.013,-65.43,-170.0
6.931,0.07,30.911,0.021,76.163,0.097,-152.323,0.026,54.073,0.258,12.898,0.026,-31.824,-170.0
6.614,0.063,5.746,0.012,88.29,0.078,-179.383,0.042,83.06,0.208,-2.119,0.034,-23.221,-170.0
6.342,0.057,-20.285,0.005,134.041,0.07,154.217,0.049,93.499,0.156,-21.466,0.035,-17.758,-170.0
6.105,0.053,-46.596,0.008,-153.752,0.064,131.724,0.046,99.892,0.118,-47.999,0.03,-11.787,-170.0
5.894,0.051,-72.284,0.012,-135.487,0.057,111.474,0.035,105.972,0.1,-79.581,0.021,-2.196,-170.0
5.706,0.049,-96.845,0.014,-128.723,0.048,90.562,0.02,116.417,0.096,-108.107,0.011,21.73,-170.0
5.535,0.046,-120.305,0.013,-124.393,0.039,66.387,0.006,178.091,0.093,-130.717,0.008,87.654,-170.0
5.38,0.044,-143.114,0.009,-119.789,0.033,38.313,0.016,-97.389,0.086,-150.151,0.013,127.393,-170.0
5.238,0.04,-166.158,0.005,-109.546,0.03,9.42,0.027,-86.08,0.073,-170.017,0.016,140.943,-170.0
5.107,0.036,169.477,0.002,-8.547,0.029,-16.42,0.033,-81.72,0.059,166.39,0.016,148.947,-170.0
4.985,0.033,143.472,0.005,39.175,0.028,-38.858,0.032,-79.164,0.049,137.363,0.014,156.954,-170.0
4.872,0.03,116.703,0.008,44.453,0.025,-59.964,0.027,-77.074,0.045,105.965,0.009,170.069,-170.0
4.767,0.029,90.722,0.009,45.734,0.022,-82.044,0.017,-74.671,0.045,78.516,0.004,-151.351,-170.0
4.668,0.028,65.925,0.008,45.652,0.018,-107.372,0.005,-67.478,0.045,55.922,0.005,-80.105,-170.0
4.575,0.026,42.281,0.005,43.845,0.016,-135.989,0.007,100.053,0.042,35.796,0.008,-55.886,-170.0
4.488,0.024,18.715,0.002,34.856,0.015,-165.013,0.017,103.993,0.036,15.021,0.009,-46.493,-170.0
4.405,0.022,-5.711,0.001,-99.702,0.015,168.746,0.022,105.042,0.03,-9.138,0.009,-39.674,-170.0
4.327,0.02,-31.384,0.003,-124.403,0.014,145.59,0.024,105.29,0.026,-37.802,0.007,-30.994,-170.0
4.253,0.018,-58.017,0.005,-130.134,0.013,123.588,0.021,104.695,0.024,-68.653,0.003,-10.912,-170.0
4.182,0.017,-84.232,0.005,-134.21,0.011,101.072,0.014,102.229,0.023,-96.709,0.002,63.034,-170.0
4.115,0.016,-109.759,0.005,-138.976,0.01,75.958,0.006,89.874,0.023,-120.833,0.004,106.328,-170.0
4.051,0.015,-134.223,0.003,-148.215,0.008,47.73,0.004,-31.294,0.022,-142.355,0.005,116.703,-170.0
