StartDate,ProjectDurationRAO,DowntimeDurationRAO,ProjectDurationSea,DowntimeDurationSea,WorkabilityRAO,WorkabilitySea,Month
2017-12-29 20:00:00,132.35416666666666,8 days 08:30:00,127.89583333333333,3 days 21:30:00,0.9368802140720919,0.9695390128685454,12
2001-02-07 19:00:00,129.02083333333334,5 days 00:30:00,126.14583333333333,2 days 03:30:00,0.9610850960762151,0.9829892650701899,2
2010-12-10 13:00:00,130.47916666666666,6 days 11:30:00,125.10416666666667,1 days 02:30:00,0.9503432859651924,0.9911740216486261,12
1990-08-14 05:00:00,130.35416666666666,6 days 08:30:00,126.6875,2 days 16:30:00,0.9512545948537637,0.978786383818451,8
1998-08-17 04:00:00,129.10416666666666,5 days 02:30:00,125.52083333333333,1 days 12:30:00,0.9604647410037115,0.9878838174273858,8
2009-07-28 03:00:00,129.60416666666666,5 days 14:30:00,126.3125,2 days 07:30:00,0.9567593634463912,0.9816922315685305,7
2013-09-12 19:00:00,131.35416666666666,7 days 08:30:00,125.6875,1 days 16:30:00,0.9440126883425852,0.9865738438587768,9
1991-12-26 01:00:00,128.9375,4 days 22:30:00,125.89583333333333,1 days 21:30:00,0.9617062530295686,0.9849412543438689,12
1998-04-12 03:00:00,128.47916666666666,4 days 11:30:00,125.4375,1 days 10:30:00,0.9651370196205611,0.9885401096163428,4
2011-05-03 07:00:00,129.4375,5 days 10:30:00,126.4375,2 days 10:30:00,0.9579913085465959,0.9807217004448838,5
2010-08-30 05:00:00,129.8125,5 days 19:30:00,125.4375,1 days 10:30:00,0.9552238805970149,0.9885401096163428,8
2009-01-30 17:00:00,128.0625,4 days 01:30:00,125.72916666666667,1 days 17:30:00,0.9682772083943387,0.9862468931234466,1
1998-05-27 01:00:00,127.85416666666667,3 days 20:30:00,125.39583333333333,1 days 09:30:00,0.9698549780022813,0.9888685828210666,5
1999-10-29 14:00:00,129.14583333333334,5 days 03:30:00,126.4375,2 days 10:30:00,0.9601548636876915,0.9807217004448838,10
2005-11-06 01:00:00,128.35416666666666,4 days 08:30:00,125.52083333333333,1 days 12:30:00,0.9660769355624087,0.9878838174273858,11
2003-04-22 13:00:00,127.27083333333333,3 days 06:30:00,126.6875,2 days 16:30:00,0.9743002128007857,0.978786383818451,4
1996-12-16 08:00:00,128.9375,4 days 22:30:00,125.77083333333333,1 days 18:30:00,0.9617062530295686,0.9859201590193805,12
1996-04-21 16:00:00,128.0625,4 days 01:30:00,125.0625,1 days 01:30:00,0.9682772083943387,0.991504247876062,4
1996-06-05 16:00:00,132.10416666666666,8 days 02:30:00,125.77083333333333,1 days 18:30:00,0.9386532092729853,0.9859201590193805,6
